Time:27.6872439384   TIMDs:560
Time:52.0112249851   TIMDs:840
Time:99.6077108383   TIMDs:1120
Time:47.7419879436   TIMDs:1403
Time:34.4232130051   TIMDs:1689
Time:125.156601906   TIMDs:1975
Time:93.6712379456   TIMDs:2262
Time:137.182159185   TIMDs:295
Time:40.1297430992   TIMDs:301
Time:31.308866024   TIMDs:614
Time:62.2842879295   TIMDs:927
Time:34.5299417973   TIMDs:1243
Time:77.4355270863   TIMDs:1559
Time:55.2572660446   TIMDs:1875
Time:44.016671896   TIMDs:2191
Time:50.873721838   TIMDs:2509
Time:50.8216569424   TIMDs:2830
Time:52.0823378563   TIMDs:3152
Time:89.4456179142   TIMDs:323
Time:44.9101169109   TIMDs:651
Time:27.1813850403   TIMDs:979
Time:51.5435409546   TIMDs:1307
Time:38.0362200737   TIMDs:328
Time:30.8814370632   TIMDs:659
Time:95.2649261951   TIMDs:334
Time:80.9229841232   TIMDs:668
Time:83.4547021389   TIMDs:1005
Time:55.9067308903   TIMDs:1343
Time:66.2859261036   TIMDs:1683
Time:61.0281300545   TIMDs:340
Time:48.572578907   TIMDs:686
Time:62.0353469849   TIMDs:1032
Time:47.6897511482   TIMDs:1378
Time:75.9074971676   TIMDs:1724
Time:46.2300651073   TIMDs:346
Time:65.734924078   TIMDs:692
Time:90.838862896   TIMDs:346
Time:89.5310258865   TIMDs:697
Time:84.4975588322   TIMDs:1049
Time:148.66427803   TIMDs:1401
Time:123.928271055   TIMDs:1754
Time:103.155482054   TIMDs:358
Time:407.208506823   TIMDs:716
Time:75.95981884   TIMDs:366
Time:78.0501480103   TIMDs:747
Time:49.9743800163   TIMDs:1131
Time:30.6038198471   TIMDs:1518
Time:49.4380259514   TIMDs:388
Time:27.7792749405   TIMDs:776
Time:42.4351518154   TIMDs:1164
Time:30.6663019657   TIMDs:1552
Time:47.7017080784   TIMDs:1940
Time:99.6087851524   TIMDs:2329
Time:50.5322179794   TIMDs:2722
Time:50.4059371948   TIMDs:3115
Time:39.4989819527   TIMDs:393
Time:77.3997750282   TIMDs:399
Time:71.5677950382   TIMDs:798
Time:35.0355210304   TIMDs:399
Time:25.8799779415   TIMDs:798
